symbol,signal,trend,btc_state,volatility,regime,confidence,entry,sl,tp,rr,result,rr_result,rsi,macd,macd_signal,atr,ema_distance,volume_spike,orderflow_bias,orderflow_strength,liquidity_signal,liquidity_strength
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,MEDIUM_VOLATILITY,TRENDING,78,82210.07,81110.295,85509.395,3.0,LOSS,-1.0,66.18,288.4623,152.1973,292.8454,0.7294,0.87,1,60.26,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,MEDIUM_VOLATILITY,TRENDING,78,81877.72,80777.945,85177.045,3.0,LOSS,-1.0,57.38,272.5402,176.2659,307.8051,0.2954,1.43,0,50.0,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,MEDIUM_VOLATILITY,TRENDING,78,81679.99,80726.315,84541.015,3.0,LOSS,-1.0,52.88,241.1864,189.25,318.8954,0.0489,1.56,0,50.0,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,MEDIUM_VOLATILITY,TRENDING,78,81596.31,80685.675,84328.215,3.0,LOSS,-1.0,51.05,207.1976,192.8395,321.2536,-0.0485,0.82,0,50.0,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,MEDIUM_VOLATILITY,TRENDING,78,81471.13,80564.8,84190.12,3.0,LOSS,-1.0,48.36,168.2211,187.9158,324.5926,-0.183,0.61,0,50.0,0,0
BTCUSDT,BUY,BULLISH,STRONG_BULLISH,MEDIUM_VOLATILITY,TRENDING,78,81502.96,80596.63,84221.95,3.0,LOSS,-1.0,49.1,138.306,177.9939,322.8903,-0.1302,0.54,0,50.0,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,MEDIUM_VOLATILITY,TRENDING,78,80722.19,81398.555,78693.095,3.0,OPEN,0.0,34.73,-170.2492,-38.3454,278.2714,-0.6695,0.68,-1,62.14,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,MEDIUM_VOLATILITY,TRENDING,78,80736.01,81393.55,78763.39,3.0,OPEN,0.0,35.2,-189.0069,-68.4777,264.2563,-0.5902,0.57,-1,65.5,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,MEDIUM_VOLATILITY,TRENDING,78,80640.0,81249.925,78810.225,3.0,OPEN,0.0,33.4,-209.2082,-96.6238,254.3923,-0.6423,0.95,-1,76.77,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,MEDIUM_VOLATILITY,TRENDING,78,80752.81,81362.735,78923.035,3.0,OPEN,0.0,37.45,-213.6521,-120.0294,246.9357,-0.4539,0.32,-1,73.72,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,MEDIUM_VOLATILITY,TRENDING,78,80822.08,81432.005,78992.305,3.0,OPEN,0.0,39.87,-209.1732,-137.8582,237.3953,-0.3328,0.33,-1,77.6,0,0
BTCUSDT,SELL,BEARISH,STRONG_BEARISH,MEDIUM_VOLATILITY,TRENDING,78,80824.61,81400.535,79096.835,3.0,OPEN,0.0,39.96,-203.0786,-150.9023,231.1163,-0.2983,0.34,-1,74.84,0,0
